count haswon operator
35333 0 BOPE-CAPITAO
78423 0 BOPE-CAVEIRA
99591 0 G.E.O.-JACKAL
85166 0 G.E.O.-MIRA
56281 0 GIGN-DOC
33176 0 GIGN-MONTAGNE
3557 0 GIGN-RESERVE
67044 0 GIGN-ROOK
98538 0 GIGN-TWITCH
91809 0 GSG9-BANDIT
11875 0 GSG9-BLITZ
32189 0 GSG9-IQ
126893 0 GSG9-JAGER
10324 0 GSG9-RESERVE
46639 0 JTF2-BUCK
61064 0 JTF2-FROST
38408 0 NAVYSEAL-BLACKBEARD
74644 0 NAVYSEAL-VALKYRIE
75733 0 SAS-MUTE
8199 0 SAS-RESERVE
72553 0 SAS-SLEDGE
53701 0 SAS-SMOKE
59933 0 SAS-THATCHER
23884 0 SAT-ECHO
98163 0 SAT-HIBANA
92477 0 SPETSNAZ-FUZE
37152 0 SPETSNAZ-GLAZ
46369 0 SPETSNAZ-KAPKAN
3470 0 SPETSNAZ-RESERVE
9650 0 SPETSNAZ-TACHANKA
119364 0 SWAT-ASH
48083 0 SWAT-CASTLE
60572 0 SWAT-PULSE
4114 0 SWAT-RESERVE
96357 0 SWAT-THERMITE
35329 1 BOPE-CAPITAO
85190 1 BOPE-CAVEIRA
105184 1 G.E.O.-JACKAL
89899 1 G.E.O.-MIRA
56088 1 GIGN-DOC
30936 1 GIGN-MONTAGNE
3005 1 GIGN-RESERVE
76174 1 GIGN-ROOK
106266 1 GIGN-TWITCH
98648 1 GSG9-BANDIT
10757 1 GSG9-BLITZ
32727 1 GSG9-IQ
137264 1 GSG9-JAGER
9612 1 GSG9-RESERVE
46311 1 JTF2-BUCK
70315 1 JTF2-FROST
38468 1 NAVYSEAL-BLACKBEARD
81156 1 NAVYSEAL-VALKYRIE
78409 1 SAS-MUTE
6861 1 SAS-RESERVE
73962 1 SAS-SLEDGE
54611 1 SAS-SMOKE
61673 1 SAS-THATCHER
24408 1 SAT-ECHO
104178 1 SAT-HIBANA
93159 1 SPETSNAZ-FUZE
35717 1 SPETSNAZ-GLAZ
45935 1 SPETSNAZ-KAPKAN
2833 1 SPETSNAZ-RESERVE
8350 1 SPETSNAZ-TACHANKA
125753 1 SWAT-ASH
47457 1 SWAT-CASTLE
60288 1 SWAT-PULSE
3558 1 SWAT-RESERVE
98791 1 SWAT-THERMITE
31030 0 BOPE-CAPITAO
90285 0 BOPE-CAVEIRA
71762 0 G.E.O.-JACKAL
60430 0 G.E.O.-MIRA
56417 0 GIGN-DOC
36542 0 GIGN-MONTAGNE
4069 0 GIGN-RESERVE
60740 0 GIGN-ROOK
91961 0 GIGN-TWITCH
99476 0 GSG9-BANDIT
16084 0 GSG9-BLITZ
27754 0 GSG9-IQ
132190 0 GSG9-JAGER
13340 0 GSG9-RESERVE
46851 0 JTF2-BUCK
63876 0 JTF2-FROST
33631 0 NAVYSEAL-BLACKBEARD
80826 0 NAVYSEAL-VALKYRIE
74471 0 SAS-MUTE
8756 0 SAS-RESERVE
74021 0 SAS-SLEDGE
72921 0 SAS-SMOKE
58350 0 SAS-THATCHER
21014 0 SAT-ECHO
89591 0 SAT-HIBANA
81587 0 SPETSNAZ-FUZE
87226 0 SPETSNAZ-GLAZ
41681 0 SPETSNAZ-KAPKAN
3626 0 SPETSNAZ-RESERVE
8467 0 SPETSNAZ-TACHANKA
117605 0 SWAT-ASH
41439 0 SWAT-CASTLE
68994 0 SWAT-PULSE
4531 0 SWAT-RESERVE
94272 0 SWAT-THERMITE
31160 1 BOPE-CAPITAO
94571 1 BOPE-CAVEIRA
75670 1 G.E.O.-JACKAL
61488 1 G.E.O.-MIRA
55879 1 GIGN-DOC
35265 1 GIGN-MONTAGNE
3362 1 GIGN-RESERVE
68666 1 GIGN-ROOK
99341 1 GIGN-TWITCH
102699 1 GSG9-BANDIT
15858 1 GSG9-BLITZ
28602 1 GSG9-IQ
138544 1 GSG9-JAGER
11984 1 GSG9-RESERVE
47548 1 JTF2-BUCK
72453 1 JTF2-FROST
34686 1 NAVYSEAL-BLACKBEARD
83758 1 NAVYSEAL-VALKYRIE
75810 1 SAS-MUTE
7324 1 SAS-RESERVE
77216 1 SAS-SLEDGE
72278 1 SAS-SMOKE
60520 1 SAS-THATCHER
21570 1 SAT-ECHO
94831 1 SAT-HIBANA
84490 1 SPETSNAZ-FUZE
91738 1 SPETSNAZ-GLAZ
41120 1 SPETSNAZ-KAPKAN
3044 1 SPETSNAZ-RESERVE
7463 1 SPETSNAZ-TACHANKA
124731 1 SWAT-ASH
39607 1 SWAT-CASTLE
67319 1 SWAT-PULSE
4047 1 SWAT-RESERVE
99542 1 SWAT-THERMITE
31573 0 BOPE-CAPITAO
83013 0 BOPE-CAVEIRA
80356 0 G.E.O.-JACKAL
70492 0 G.E.O.-MIRA
52434 0 GIGN-DOC
32471 0 GIGN-MONTAGNE
3767 0 GIGN-RESERVE
59096 0 GIGN-ROOK
93780 0 GIGN-TWITCH
100030 0 GSG9-BANDIT
13880 0 GSG9-BLITZ
29961 0 GSG9-IQ
131383 0 GSG9-JAGER
12648 0 GSG9-RESERVE
48472 0 JTF2-BUCK
64208 0 JTF2-FROST
36483 0 NAVYSEAL-BLACKBEARD
78650 0 NAVYSEAL-VALKYRIE
73074 0 SAS-MUTE
8519 0 SAS-RESERVE
77527 0 SAS-SLEDGE
66149 0 SAS-SMOKE
59329 0 SAS-THATCHER
24434 0 SAT-ECHO
97567 0 SAT-HIBANA
83057 0 SPETSNAZ-FUZE
64520 0 SPETSNAZ-GLAZ
44675 0 SPETSNAZ-KAPKAN
3427 0 SPETSNAZ-RESERVE
9000 0 SPETSNAZ-TACHANKA
124987 0 SWAT-ASH
42287 0 SWAT-CASTLE
66232 0 SWAT-PULSE
4339 0 SWAT-RESERVE
92326 0 SWAT-THERMITE
32177 1 BOPE-CAPITAO
87768 1 BOPE-CAVEIRA
84669 1 G.E.O.-JACKAL
73371 1 G.E.O.-MIRA
51885 1 GIGN-DOC
30078 1 GIGN-MONTAGNE
3123 1 GIGN-RESERVE
67166 1 GIGN-ROOK
100851 1 GIGN-TWITCH
104688 1 GSG9-BANDIT
13178 1 GSG9-BLITZ
30393 1 GSG9-IQ
140613 1 GSG9-JAGER
11528 1 GSG9-RESERVE
48981 1 JTF2-BUCK
72828 1 JTF2-FROST
36288 1 NAVYSEAL-BLACKBEARD
83546 1 NAVYSEAL-VALKYRIE
75666 1 SAS-MUTE
7280 1 SAS-RESERVE
79869 1 SAS-SLEDGE
66472 1 SAS-SMOKE
61137 1 SAS-THATCHER
25623 1 SAT-ECHO
103267 1 SAT-HIBANA
84637 1 SPETSNAZ-FUZE
65030 1 SPETSNAZ-GLAZ
43763 1 SPETSNAZ-KAPKAN
2985 1 SPETSNAZ-RESERVE
7905 1 SPETSNAZ-TACHANKA
131748 1 SWAT-ASH
41258 1 SWAT-CASTLE
66392 1 SWAT-PULSE
3873 1 SWAT-RESERVE
95818 1 SWAT-THERMITE
30625 0 BOPE-CAPITAO
90792 0 BOPE-CAVEIRA
91019 0 G.E.O.-JACKAL
69402 0 G.E.O.-MIRA
55784 0 GIGN-DOC
36243 0 GIGN-MONTAGNE
3814 0 GIGN-RESERVE
62943 0 GIGN-ROOK
95690 0 GIGN-TWITCH
96400 0 GSG9-BANDIT
14838 0 GSG9-BLITZ
32105 0 GSG9-IQ
130644 0 GSG9-JAGER
12160 0 GSG9-RESERVE
46649 0 JTF2-BUCK
63613 0 JTF2-FROST
36155 0 NAVYSEAL-BLACKBEARD
76531 0 NAVYSEAL-VALKYRIE
75731 0 SAS-MUTE
8661 0 SAS-RESERVE
73213 0 SAS-SLEDGE
62637 0 SAS-SMOKE
59230 0 SAS-THATCHER
19641 0 SAT-ECHO
92971 0 SAT-HIBANA
90254 0 SPETSNAZ-FUZE
55245 0 SPETSNAZ-GLAZ
44412 0 SPETSNAZ-KAPKAN
3566 0 SPETSNAZ-RESERVE
8759 0 SPETSNAZ-TACHANKA
118080 0 SWAT-ASH
44051 0 SWAT-CASTLE
65016 0 SWAT-PULSE
4226 0 SWAT-RESERVE
93769 0 SWAT-THERMITE
31330 1 BOPE-CAPITAO
96072 1 BOPE-CAVEIRA
95465 1 G.E.O.-JACKAL
71115 1 G.E.O.-MIRA
55388 1 GIGN-DOC
34032 1 GIGN-MONTAGNE
3071 1 GIGN-RESERVE
71821 1 GIGN-ROOK
102417 1 GIGN-TWITCH
100159 1 GSG9-BANDIT
14276 1 GSG9-BLITZ
32576 1 GSG9-IQ
138274 1 GSG9-JAGER
11071 1 GSG9-RESERVE
47211 1 JTF2-BUCK
72069 1 JTF2-FROST
37091 1 NAVYSEAL-BLACKBEARD
81311 1 NAVYSEAL-VALKYRIE
77889 1 SAS-MUTE
7182 1 SAS-RESERVE
76180 1 SAS-SLEDGE
62618 1 SAS-SMOKE
61281 1 SAS-THATCHER
20299 1 SAT-ECHO
97976 1 SAT-HIBANA
92423 1 SPETSNAZ-FUZE
55750 1 SPETSNAZ-GLAZ
44297 1 SPETSNAZ-KAPKAN
2983 1 SPETSNAZ-RESERVE
7543 1 SPETSNAZ-TACHANKA
124821 1 SWAT-ASH
42988 1 SWAT-CASTLE
64976 1 SWAT-PULSE
3743 1 SWAT-RESERVE
97433 1 SWAT-THERMITE
30448 0 BOPE-CAPITAO
85621 0 BOPE-CAVEIRA
72800 0 G.E.O.-JACKAL
63101 0 G.E.O.-MIRA
53940 0 GIGN-DOC
35585 0 GIGN-MONTAGNE
3925 0 GIGN-RESERVE
59588 0 GIGN-ROOK
92744 0 GIGN-TWITCH
99421 0 GSG9-BANDIT
15352 0 GSG9-BLITZ
29484 0 GSG9-IQ
132223 0 GSG9-JAGER
12769 0 GSG9-RESERVE
46437 0 JTF2-BUCK
63520 0 JTF2-FROST
35578 0 NAVYSEAL-BLACKBEARD
80500 0 NAVYSEAL-VALKYRIE
74984 0 SAS-MUTE
8896 0 SAS-RESERVE
78120 0 SAS-SLEDGE
69693 0 SAS-SMOKE
60350 0 SAS-THATCHER
22187 0 SAT-ECHO
95797 0 SAT-HIBANA
83007 0 SPETSNAZ-FUZE
73715 0 SPETSNAZ-GLAZ
43613 0 SPETSNAZ-KAPKAN
3570 0 SPETSNAZ-RESERVE
8713 0 SPETSNAZ-TACHANKA
121913 0 SWAT-ASH
41352 0 SWAT-CASTLE
67570 0 SWAT-PULSE
4423 0 SWAT-RESERVE
92912 0 SWAT-THERMITE
30710 1 BOPE-CAPITAO
90396 1 BOPE-CAVEIRA
76316 1 G.E.O.-JACKAL
65368 1 G.E.O.-MIRA
53699 1 GIGN-DOC
34277 1 GIGN-MONTAGNE
3185 1 GIGN-RESERVE
67538 1 GIGN-ROOK
100077 1 GIGN-TWITCH
104068 1 GSG9-BANDIT
15054 1 GSG9-BLITZ
30130 1 GSG9-IQ
139741 1 GSG9-JAGER
11681 1 GSG9-RESERVE
46484 1 JTF2-BUCK
72584 1 JTF2-FROST
35743 1 NAVYSEAL-BLACKBEARD
85130 1 NAVYSEAL-VALKYRIE
76844 1 SAS-MUTE
7409 1 SAS-RESERVE
80392 1 SAS-SLEDGE
69930 1 SAS-SMOKE
62559 1 SAS-THATCHER
23498 1 SAT-ECHO
100585 1 SAT-HIBANA
85417 1 SPETSNAZ-FUZE
75857 1 SPETSNAZ-GLAZ
43908 1 SPETSNAZ-KAPKAN
3022 1 SPETSNAZ-RESERVE
7585 1 SPETSNAZ-TACHANKA
128254 1 SWAT-ASH
40271 1 SWAT-CASTLE
67827 1 SWAT-PULSE
4077 1 SWAT-RESERVE
96533 1 SWAT-THERMITE
29963 0 BOPE-CAPITAO
90390 0 BOPE-CAVEIRA
67998 0 G.E.O.-JACKAL
58406 0 G.E.O.-MIRA
55820 0 GIGN-DOC
38356 0 GIGN-MONTAGNE
4033 0 GIGN-RESERVE
59380 0 GIGN-ROOK
92486 0 GIGN-TWITCH
103192 0 GSG9-BANDIT
17337 0 GSG9-BLITZ
28162 0 GSG9-IQ
135832 0 GSG9-JAGER
14089 0 GSG9-RESERVE
44577 0 JTF2-BUCK
62969 0 JTF2-FROST
34759 0 NAVYSEAL-BLACKBEARD
84130 0 NAVYSEAL-VALKYRIE
71424 0 SAS-MUTE
8555 0 SAS-RESERVE
74712 0 SAS-SLEDGE
72732 0 SAS-SMOKE
56673 0 SAS-THATCHER
21993 0 SAT-ECHO
92775 0 SAT-HIBANA
78568 0 SPETSNAZ-FUZE
84913 0 SPETSNAZ-GLAZ
41880 0 SPETSNAZ-KAPKAN
3622 0 SPETSNAZ-RESERVE
8390 0 SPETSNAZ-TACHANKA
120916 0 SWAT-ASH
39819 0 SWAT-CASTLE
70545 0 SWAT-PULSE
4498 0 SWAT-RESERVE
91302 0 SWAT-THERMITE
30859 1 BOPE-CAPITAO
93958 1 BOPE-CAVEIRA
71724 1 G.E.O.-JACKAL
58734 1 G.E.O.-MIRA
54815 1 GIGN-DOC
37496 1 GIGN-MONTAGNE
3213 1 GIGN-RESERVE
66976 1 GIGN-ROOK
101395 1 GIGN-TWITCH
105689 1 GSG9-BANDIT
17175 1 GSG9-BLITZ
29161 1 GSG9-IQ
140307 1 GSG9-JAGER
12655 1 GSG9-RESERVE
45742 1 JTF2-BUCK
70835 1 JTF2-FROST
35873 1 NAVYSEAL-BLACKBEARD
86586 1 NAVYSEAL-VALKYRIE
71571 1 SAS-MUTE
