count mapname winrole
119179 BANK Attacker
133805 BANK Defender
115558 BARTLETT_U. Attacker
136689 BARTLETT_U. Defender
125079 BORDER Attacker
128173 BORDER Defender
138517 CHALET Attacker
121182 CHALET Defender
129722 CLUB_HOUSE Attacker
128215 CLUB_HOUSE Defender
99436 COASTLINE Attacker
94502 COASTLINE Defender
122528 CONSULATE Attacker
129510 CONSULATE Defender
132658 FAVELAS Attacker
114412 FAVELAS Defender
124340 HEREFORD_BASE Attacker
132882 HEREFORD_BASE Defender
135617 HOUSE Attacker
120398 HOUSE Defender
126922 KAFE_DOSTOYEVSKY Attacker
123024 KAFE_DOSTOYEVSKY Defender
124019 KANAL Attacker
130061 KANAL Defender
126253 OREGON Attacker
130174 OREGON Defender
117234 PLANE Attacker
136163 PLANE Defender
126065 SKYSCRAPER Attacker
129514 SKYSCRAPER Defender
124068 YACHT Attacker
124101 YACHT Defender
114908 BANK Attacker
129069 BANK Defender
111661 BARTLETT_U. Attacker
130828 BARTLETT_U. Defender
122859 BORDER Attacker
125753 BORDER Defender
136710 CHALET Attacker
118476 CHALET Defender
131355 CLUB_HOUSE Attacker
124522 CLUB_HOUSE Defender
106222 COASTLINE Attacker
102499 COASTLINE Defender
123775 CONSULATE Attacker
131472 CONSULATE Defender
138375 FAVELAS Attacker
117686 FAVELAS Defender
123859 HEREFORD_BASE Attacker
130259 HEREFORD_BASE Defender
142849 HOUSE Attacker
120624 HOUSE Defender
128306 KAFE_DOSTOYEVSKY Attacker
125369 KAFE_DOSTOYEVSKY Defender
122809 KANAL Attacker
125761 KANAL Defender
128213 OREGON Attacker
129242 OREGON Defender
124998 PLANE Attacker
129951 PLANE Defender
124291 SKYSCRAPER Attacker
124260 SKYSCRAPER Defender
126657 YACHT Attacker
126382 YACHT Defender
118233 BANK Attacker
130558 BANK Defender
111962 BARTLETT_U. Attacker
134376 BARTLETT_U. Defender
123491 BORDER Attacker
126317 BORDER Defender
128233 CHALET Attacker
113245 CHALET Defender
129775 CLUB_HOUSE Attacker
125187 CLUB_HOUSE Defender
116968 COASTLINE Attacker
113684 COASTLINE Defender
121416 CONSULATE Attacker
127109 CONSULATE Defender
135930 FAVELAS Attacker
115884 FAVELAS Defender
121665 HEREFORD_BASE Attacker
128543 HEREFORD_BASE Defender
138592 HOUSE Attacker
121535 HOUSE Defender
124660 KAFE_DOSTOYEVSKY Attacker
124700 KAFE_DOSTOYEVSKY Defender
123146 KANAL Attacker
127474 KANAL Defender
120922 OREGON Attacker
125024 OREGON Defender
121708 PLANE Attacker
133582 PLANE Defender
128941 SKYSCRAPER Attacker
129340 SKYSCRAPER Defender
129416 YACHT Attacker
128384 YACHT Defender
119566 BANK Attacker
134178 BANK Defender
112739 BARTLETT_U. Attacker
130677 BARTLETT_U. Defender
125893 BORDER Attacker
128585 BORDER Defender
137944 CHALET Attacker
118150 CHALET Defender
128213 CLUB_HOUSE Attacker
122472 CLUB_HOUSE Defender
106362 COASTLINE Attacker
100862 COASTLINE Defender
120169 CONSULATE Attacker
128680 CONSULATE Defender
134788 FAVELAS Attacker
116496 FAVELAS Defender
123015 HEREFORD_BASE Attacker
131284 HEREFORD_BASE Defender
141547 HOUSE Attacker
123709 HOUSE Defender
127816 KAFE_DOSTOYEVSKY Attacker
124781 KAFE_DOSTOYEVSKY Defender
125011 KANAL Attacker
128212 KANAL Defender
124972 OREGON Attacker
129636 OREGON Defender
116490 PLANE Attacker
130266 PLANE Defender
129431 SKYSCRAPER Attacker
130552 SKYSCRAPER Defender
124150 YACHT Attacker
123354 YACHT Defender
118115 BANK Attacker
132142 BANK Defender
114681 BARTLETT_U. Attacker
133743 BARTLETT_U. Defender
121679 BORDER Attacker
127700 BORDER Defender
136431 CHALET Attacker
114883 CHALET Defender
133699 CLUB_HOUSE Attacker
127221 CLUB_HOUSE Defender
109408 COASTLINE Attacker
105841 COASTLINE Defender
121695 CONSULATE Attacker
130093 CONSULATE Defender
128605 FAVELAS Attacker
112103 FAVELAS Defender
127102 HEREFORD_BASE Attacker
135614 HEREFORD_BASE Defender
137001 HOUSE Attacker
119748 HOUSE Defender
128024 KAFE_DOSTOYEVSKY Attacker
126650 KAFE_DOSTOYEVSKY Defender
122720 KANAL Attacker
124626 KANAL Defender
123860 OREGON Attacker
127346 OREGON Defender
119141 PLANE Attacker
128029 PLANE Defender
127295 SKYSCRAPER Attacker
129019 SKYSCRAPER Defender
127661 YACHT Attacker
128125 YACHT Defender
119511 BANK Attacker
131786 BANK Defender
111987 BARTLETT_U. Attacker
131261 BARTLETT_U. Defender
119735 BORDER Attacker
120246 BORDER Defender
136985 CHALET Attacker
114589 CHALET Defender
130665 CLUB_HOUSE Attacker
126240 CLUB_HOUSE Defender
114061 COASTLINE Attacker
110131 COASTLINE Defender
119595 CONSULATE Attacker
126586 CONSULATE Defender
136642 FAVELAS Attacker
113814 FAVELAS Defender
124529 HEREFORD_BASE Attacker
127195 HEREFORD_BASE Defender
144245 HOUSE Attacker
123708 HOUSE Defender
126796 KAFE_DOSTOYEVSKY Attacker
123623 KAFE_DOSTOYEVSKY Defender
128098 KANAL Attacker
130609 KANAL Defender
127663 OREGON Attacker
128477 OREGON Defender
123812 PLANE Attacker
127899 PLANE Defender
127398 SKYSCRAPER Attacker
124414 SKYSCRAPER Defender
125557 YACHT Attacker
122143 YACHT Defender
116405 BANK Attacker
131087 BANK Defender
112355 BARTLETT_U. Attacker
132959 BARTLETT_U. Defender
121998 BORDER Attacker
128174 BORDER Defender
136187 CHALET Attacker
117940 CHALET Defender
124821 CLUB_HOUSE Attacker
120320 CLUB_HOUSE Defender
124152 COASTLINE Attacker
123161 COASTLINE Defender
117883 CONSULATE Attacker
126544 CONSULATE Defender
134359 FAVELAS Attacker
113796 FAVELAS Defender
120934 HEREFORD_BASE Attacker
131115 HEREFORD_BASE Defender
141876 HOUSE Attacker
122561 HOUSE Defender
122204 KAFE_DOSTOYEVSKY Attacker
124498 KAFE_DOSTOYEVSKY Defender
123387 KANAL Attacker
127873 KANAL Defender
121196 OREGON Attacker
128829 OREGON Defender
120538 PLANE Attacker
131467 PLANE Defender
123757 SKYSCRAPER Attacker
127314 SKYSCRAPER Defender
124304 YACHT Attacker
126006 YACHT Defender
119022 BANK Attacker
130972 BANK Defender
109574 BARTLETT_U. Attacker
127268 BARTLETT_U. Defender
119629 BORDER Attacker
122967 BORDER Defender
135172 CHALET Attacker
113504 CHALET Defender
128268 CLUB_HOUSE Attacker
123294 CLUB_HOUSE Defender
122997 COASTLINE Attacker
120973 COASTLINE Defender
116652 CONSULATE Attacker
126249 CONSULATE Defender
137919 FAVELAS Attacker
116570 FAVELAS Defender
120086 HEREFORD_BASE Attacker
129288 HEREFORD_BASE Defender
145113 HOUSE Attacker
125250 HOUSE Defender
128769 KAFE_DOSTOYEVSKY Attacker
126255 KAFE_DOSTOYEVSKY Defender
