count haswon primaryweapon
127363 0 416-C_CARBINE
17013 0 552_COMMANDO
95558 0 556XI
12848 0 6P41
54465 0 9mm_C1
49115 0 9x19VSN
76777 0 AK-12
28744 0 AR33
12524 0 AUG_A2
81172 0 C7E
31942 0 C8-SFW
14697 0 CAMRS
88406 0 F2
35077 0 FMG-9
33202 0 G36C
4183 0 G8A1
10694 0 HK417
3536 0 ITA12L
100932 0 L85A2
24508 0 M1014
56505 0 M12
3167 0 M249
32147 0 M590A1
10279 0 M870
32524 0 MK17_CQB
98305 0 MP5
73219 0 MP5K
18775 0 MP5SD
89853 0 MP7
63403 0 MPX
37152 0 OTs-03
21412 0 P90
32166 0 PARA-308
17762 0 PDW9
87328 0 R4-C
8987 0 SASG-12
6603 0 SG-CQB
11241 0 SPAS-12
21918 0 SPAS-15
5884 0 SR-25
6599 0 SUPER_90
49290 0 Shield
7175 0 SuperNova
96097 0 TYPE-89
87894 0 UMP45
82287 0 VECTOR_.45_ACP
137642 1 416-C_CARBINE
17826 1 552_COMMANDO
98099 1 556XI
12417 1 6P41
63184 1 9mm_C1
48007 1 9x19VSN
77876 1 AK-12
28547 1 AR33
12484 1 AUG_A2
86181 1 C7E
31717 1 C8-SFW
14594 1 CAMRS
97059 1 F2
35395 1 FMG-9
34689 1 G36C
3906 1 G8A1
9723 1 HK417
3492 1 ITA12L
104268 1 L85A2
23483 1 M1014
61010 1 M12
2828 1 M249
31723 1 M590A1
9745 1 M870
32904 1 MK17_CQB
107376 1 MP5
75583 1 MP5K
19393 1 MP5SD
96648 1 MP7
69598 1 MPX
35717 1 OTs-03
21438 1 P90
32501 1 PARA-308
18431 1 PDW9
92132 1 R4-C
7947 1 SASG-12
5937 1 SG-CQB
11558 1 SPAS-12
24180 1 SPAS-15
5564 1 SR-25
7131 1 SUPER_90
45723 1 Shield
7075 1 SuperNova
102118 1 TYPE-89
87444 1 UMP45
86979 1 VECTOR_.45_ACP
133042 0 416-C_CARBINE
14927 0 552_COMMANDO
93669 0 556XI
11195 0 6P41
57327 0 9mm_C1
43767 0 9x19VSN
67042 0 AK-12
27218 0 AR33
11231 0 AUG_A2
56590 0 C7E
33160 0 C8-SFW
13691 0 CAMRS
84620 0 F2
39452 0 FMG-9
30915 0 G36C
3351 0 G8A1
8187 0 HK417
1928 0 ITA12L
101331 0 L85A2
25835 0 M1014
58307 0 M12
2732 0 M249
48239 0 M590A1
11881 0 M870
28990 0 MK17_CQB
94069 0 MP5
72279 0 MP5K
17256 0 MP5SD
98328 0 MP7
70382 0 MPX
87226 0 OTs-03
19552 0 P90
28298 0 PARA-308
14670 0 PDW9
87996 0 R4-C
8670 0 SASG-12
6759 0 SG-CQB
10444 0 SPAS-12
31978 0 SPAS-15
4641 0 SR-25
6549 0 SUPER_90
57313 0 Shield
5395 0 SuperNova
87954 0 TYPE-89
88426 0 UMP45
59004 0 VECTOR_.45_ACP
139395 1 416-C_CARBINE
15703 1 552_COMMANDO
98933 1 556XI
11356 1 6P41
65485 1 9mm_C1
42825 1 9x19VSN
69934 1 AK-12
27863 1 AR33
11213 1 AUG_A2
60312 1 C7E
33817 1 C8-SFW
13731 1 CAMRS
92597 1 F2
38665 1 FMG-9
32421 1 G36C
3285 1 G8A1
7575 1 HK417
1793 1 ITA12L
106069 1 L85A2
24061 1 M1014
61157 1 M12
2427 1 M249
47380 1 M590A1
10628 1 M870
30025 1 MK17_CQB
101730 1 MP5
73171 1 MP5K
17920 1 MP5SD
101605 1 MP7
73446 1 MPX
91738 1 OTs-03
19104 1 P90
28733 1 PARA-308
14917 1 PDW9
93642 1 R4-C
7463 1 SASG-12
6242 1 SG-CQB
10312 1 SPAS-12
33414 1 SPAS-15
4661 1 SR-25
6968 1 SUPER_90
55662 1 Shield
5208 1 SuperNova
93273 1 TYPE-89
86189 1 UMP45
60136 1 VECTOR_.45_ACP
132159 0 416-C_CARBINE
15981 0 552_COMMANDO
91652 0 556XI
11921 0 6P41
58257 0 9mm_C1
47109 0 9x19VSN
68135 0 AK-12
27418 0 AR33
12118 0 AUG_A2
63083 0 C7E
34340 0 C8-SFW
14132 0 CAMRS
85922 0 F2
37240 0 FMG-9
31593 0 G36C
3599 0 G8A1
8468 0 HK417
2560 0 ITA12L
104610 0 L85A2
22800 0 M1014
59237 0 M12
2948 0 M249
44622 0 M590A1
10996 0 M870
31472 0 MK17_CQB
89956 0 MP5
70708 0 MP5K
20076 0 MP5SD
99169 0 MP7
68850 0 MPX
64520 0 OTs-03
18350 0 P90
28625 0 PARA-308
16757 0 PDW9
94705 0 R4-C
8611 0 SASG-12
6381 0 SG-CQB
9800 0 SPAS-12
23776 0 SPAS-15
5011 0 SR-25
5951 0 SUPER_90
50734 0 Shield
6031 0 SuperNova
95894 0 TYPE-89
89421 0 UMP45
68448 0 VECTOR_.45_ACP
141467 1 416-C_CARBINE
16593 1 552_COMMANDO
95295 1 556XI
11789 1 6P41
66231 1 9mm_C1
45855 1 9x19VSN
70013 1 AK-12
27881 1 AR33
12091 1 AUG_A2
67115 1 C7E
35069 1 C8-SFW
13912 1 CAMRS
93670 1 F2
36562 1 FMG-9
32929 1 G36C
3323 1 G8A1
7825 1 HK417
2423 1 ITA12L
